product_name,Price,Discount,Date
Apple iPhone 15,67711,25,2023-09-15
Apple iPhone 15,79900,11,2023-09-16
Apple iPhone 15,79900,11,2023-09-17
Apple iPhone 15,89900,0,2023-09-20
Apple iPhone 15,79900,11,2023-09-22
Apple iPhone 15,89900,0,2023-09-28
Apple iPhone 15,79900,11,2023-09-29
Apple iPhone 15,79900,11,2023-09-30
Apple iPhone 15,79900,11,2023-10-01
Apple iPhone 15,79900,11,2023-10-02
Apple iPhone 15,89900,0,2023-10-02
Apple iPhone 15,79900,11,2023-10-03
Apple iPhone 15,79900,11,2023-10-04
Apple iPhone 15,79900,11,2023-10-05
Apple iPhone 15,79900,11,2023-10-06
Apple iPhone 15,79900,11,2023-10-07
Apple iPhone 15,79900,11,2023-10-08
Apple iPhone 15,79900,11,2023-10-09
Apple iPhone 15,79900,11,2023-10-10
Apple iPhone 15,79900,11,2023-10-11
Apple iPhone 15,79900,11,2023-10-12
Apple iPhone 15,79900,11,2023-10-13
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
Apple iPhone 15,79900,11,2023-10-14
